tweet_id,root_id,split,weak_label,created_at
269,272.0,TRAIN,nan,Wed Nov 22 09:23:01 +0000 2017
270,272.0,TRAIN,OTHER,Wed Nov 22 09:24:30 +0000 2017
271,272.0,TRAIN,OTHER,Wed Nov 22 09:30:36 +0000 2017
273,272.0,TRAIN,nan,Wed Nov 22 09:40:27 +0000 2017
274,272.0,TRAIN,OTHER,Wed Nov 22 09:44:04 +0000 2017
275,272.0,TRAIN,nan,Wed Nov 22 10:06:26 +0000 2017
272,272.0,TRAIN,OTHER,Wed Nov 22 09:14:39 +0000 2017
324,325.0,TRAIN,nan,Wed Nov 22 09:06:00 +0000 2017
325,325.0,TRAIN,OTHER,Wed Nov 22 08:55:35 +0000 2017
620,621.0,TRAIN,nan,Tue Oct 31 22:28:34 +0000 2017
621,621.0,TRAIN,OTHER,Tue Oct 31 22:19:34 +0000 2017
622,624.0,TRAIN,nan,Tue Oct 31 22:28:00 +0000 2017
623,624.0,TRAIN,OTHER,Tue Oct 31 22:32:07 +0000 2017
625,624.0,TRAIN,nan,Tue Oct 31 22:34:32 +0000 2017
624,624.0,TRAIN,OTHER,Tue Oct 31 22:12:37 +0000 2017
631,632.0,TRAIN,nan,Tue Oct 31 22:27:00 +0000 2017
632,632.0,TRAIN,CourierFeedback,Tue Oct 31 21:34:58 +0000 2017
633,634.0,TRAIN,nan,Tue Oct 31 22:26:37 +0000 2017
634,634.0,TRAIN,AMBIGUOUS,Tue Oct 31 21:39:58 +0000 2017
635,636.0,TRAIN,nan,Tue Oct 31 22:26:07 +0000 2017
636,636.0,TRAIN,OTHER,Tue Oct 31 22:05:36 +0000 2017
637,643.0,TRAIN,nan,Tue Oct 31 22:26:07 +0000 2017
638,643.0,TRAIN,OTHER,Tue Oct 31 22:19:56 +0000 2017
639,643.0,TRAIN,nan,Tue Oct 31 01:09:35 +0000 2017
640,643.0,TRAIN,OTHER,Tue Oct 31 01:03:01 +0000 2017
641,643.0,TRAIN,OTHER,Tue Oct 31 01:02:39 +0000 2017
642,643.0,TRAIN,nan,Tue Oct 31 00:52:39 +0000 2017
643,643.0,TRAIN,OTHER,Mon Oct 30 23:44:45 +0000 2017
644,646.0,TRAIN,nan,Tue Oct 31 22:25:27 +0000 2017
645,646.0,TRAIN,OTHER,Wed Nov 01 08:04:52 +0000 2017
647,646.0,TRAIN,nan,Wed Nov 01 08:11:34 +0000 2017
646,646.0,TRAIN,AMBIGUOUS,Tue Oct 31 21:40:30 +0000 2017
648,649.0,TRAIN,nan,Tue Oct 31 22:24:47 +0000 2017
649,649.0,TRAIN,OTHER,Tue Oct 31 22:17:47 +0000 2017
650,652.0,TRAIN,nan,Tue Oct 31 22:24:47 +0000 2017
651,652.0,TRAIN,CourierFeedback,Tue Oct 31 22:25:58 +0000 2017
653,652.0,TRAIN,nan,Tue Oct 31 22:52:02 +0000 2017
654,652.0,TRAIN,AMBIGUOUS,Tue Oct 31 22:53:50 +0000 2017
655,652.0,TRAIN,nan,Tue Oct 31 23:07:33 +0000 2017
652,652.0,TRAIN,AMBIGUOUS,Tue Oct 31 22:11:15 +0000 2017
656,659.0,TRAIN,nan,Tue Oct 31 22:21:10 +0000 2017
657,659.0,TRAIN,OTHER,Tue Oct 31 22:18:42 +0000 2017
658,659.0,TRAIN,nan,Tue Oct 31 22:11:00 +0000 2017
659,659.0,TRAIN,DamagedOrDefective,Tue Oct 31 22:02:14 +0000 2017
660,662.0,TRAIN,nan,Tue Oct 31 22:21:01 +0000 2017
661,662.0,TRAIN,OTHER,Tue Oct 31 22:13:37 +0000 2017
662,662.0,TRAIN,OTHER,Fri Oct 27 10:58:09 +0000 2017
665,667.0,TRAIN,nan,Tue Oct 31 22:19:29 +0000 2017
666,667.0,TRAIN,CustomerServiceEscalation,Wed Nov 01 01:26:58 +0000 2017
667,667.0,TRAIN,OTHER,Tue Oct 31 22:11:10 +0000 2017
668,672.0,TRAIN,nan,Tue Oct 31 22:18:00 +0000 2017
669,672.0,TRAIN,RefundsAndReturns,Tue Oct 31 22:21:12 +0000 2017
670,672.0,TRAIN,CourierFeedback,Tue Oct 31 22:15:42 +0000 2017
671,672.0,TRAIN,OTHER,Tue Oct 31 21:04:31 +0000 2017
672,672.0,TRAIN,OTHER,Tue Oct 31 20:59:45 +0000 2017
680,682.0,TRAIN,nan,Tue Oct 31 22:17:00 +0000 2017
681,682.0,TRAIN,OTHER,Tue Oct 31 22:11:34 +0000 2017
682,682.0,TRAIN,OTHER,Tue Oct 31 13:34:50 +0000 2017
692,693.0,TRAIN,nan,Tue Oct 31 22:16:00 +0000 2017
693,693.0,TRAIN,OTHER,Tue Oct 31 22:10:21 +0000 2017
1692,1695.0,TRAIN,nan,Tue Oct 31 22:43:00 +0000 2017
1693,1695.0,TRAIN,RefundsAndReturns,Tue Oct 31 22:54:54 +0000 2017
1696,1695.0,TRAIN,nan,Tue Oct 31 22:58:00 +0000 2017
1694,1695.0,TRAIN,OTHER,Tue Oct 31 22:54:29 +0000 2017
1695,1695.0,TRAIN,OTHER,Tue Oct 31 22:40:01 +0000 2017
1697,1699.0,TRAIN,nan,Tue Oct 31 22:42:00 +0000 2017
1698,1699.0,TRAIN,AMBIGUOUS,Tue Oct 31 22:47:50 +0000 2017
1700,1699.0,TRAIN,nan,Tue Oct 31 22:52:33 +0000 2017
1701,1699.0,TRAIN,AccountAndPayment,Tue Oct 31 22:58:06 +0000 2017
1704,1699.0,TRAIN,nan,Tue Oct 31 23:06:00 +0000 2017
1702,1699.0,TRAIN,AMBIGUOUS,Tue Oct 31 23:00:14 +0000 2017
1703,1699.0,TRAIN,OTHER,Tue Oct 31 22:59:37 +0000 2017
1699,1699.0,TRAIN,AMBIGUOUS,Tue Oct 31 22:34:38 +0000 2017
1705,1708.0,TRAIN,nan,Tue Oct 31 22:42:00 +0000 2017
1706,1708.0,TRAIN,RefundsAndReturns,Tue Oct 31 22:33:08 +0000 2017
1707,1708.0,TRAIN,nan,Tue Oct 31 19:11:00 +0000 2017
1708,1708.0,TRAIN,AMBIGUOUS,Tue Oct 31 19:08:41 +0000 2017
1711,1713.0,TRAIN,nan,Tue Oct 31 22:41:00 +0000 2017
1712,1713.0,TRAIN,OTHER,Tue Oct 31 22:46:48 +0000 2017
1713,1713.0,TRAIN,OTHER,Tue Oct 31 21:21:34 +0000 2017
1716,1718.0,TRAIN,nan,Tue Oct 31 22:39:27 +0000 2017
1717,1718.0,TRAIN,OTHER,Tue Oct 31 22:40:54 +0000 2017
1719,1718.0,TRAIN,nan,Tue Oct 31 22:44:33 +0000 2017
1718,1718.0,TRAIN,AMBIGUOUS,Tue Oct 31 22:33:25 +0000 2017
1720,1733.0,TRAIN,nan,Tue Oct 31 22:36:00 +0000 2017
1721,1733.0,TRAIN,OTHER,Tue Oct 31 22:37:35 +0000 2017
1723,1733.0,TRAIN,nan,Tue Oct 31 22:47:28 +0000 2017
1724,1733.0,TRAIN,OTHER,Tue Oct 31 22:48:50 +0000 2017
1725,1733.0,TRAIN,nan,Tue Oct 31 23:04:01 +0000 2017
1726,1733.0,TRAIN,OTHER,Tue Oct 31 23:05:46 +0000 2017
1727,1733.0,TRAIN,nan,Tue Oct 31 23:31:00 +0000 2017
1728,1733.0,TRAIN,OTHER,Tue Oct 31 23:32:11 +0000 2017
1731,1733.0,TRAIN,OTHER,Tue Oct 31 23:33:22 +0000 2017
1732,1733.0,TRAIN,OTHER,Tue Oct 31 23:35:57 +0000 2017
1729,1733.0,TRAIN,OTHER,Tue Oct 31 23:54:43 +0000 2017
1730,1733.0,TRAIN,RefundsAndReturns,Wed Nov 01 01:41:28 +0000 2017
1722,1733.0,TRAIN,CustomerServiceEscalation,Tue Oct 31 22:16:51 +0000 2017
1733,1733.0,TRAIN,OTHER,Tue Oct 31 22:16:03 +0000 2017
1734,1736.0,TRAIN,nan,Tue Oct 31 22:35:00 +0000 2017
1735,1736.0,TRAIN,OTHER,Tue Oct 31 22:41:11 +0000 2017
