tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,root_id
382761,206721,True,Sat Oct 21 14:09:41 +0000 2017,@AmazonHelp @115850 there is a major problem with customer support team.. had a quite disturbing experience today...,382759,,382761.0
1278089,419100,True,Thu Oct 26 20:27:11 +0000 2017,@AmazonHelp Relais Colis :( Malheureusement,1278090,1278088.0,1278085.0
1020080,265305,True,Sat Nov 25 17:43:44 +0000 2017,@AmazonHelp my most recent order hasn't shipped yet but you know I'm prayin' that it comes via FedEx or UPS,1020082,1020079.0,1020081.0
1337985,432081,True,Fri Oct 27 15:03:04 +0000 2017,@AmazonHelp Entonces solo se puede devolver el producto ?,1337987,1337984.0,1337989.0
1506885,187887,True,Mon Oct 16 23:14:20 +0000 2017,"@469735 @115821 @13579 Hrm, when that happened what was the delivery message? 
Maybe I should go check stairs around apt complex.",1506884,1506886.0,1506887.0
2162421,634951,True,Thu Oct 19 11:37:10 +0000 2017,"@AmazonHelp Ah. Danke, das erklärt es natürlich.",,2162420.0,2162422.0
1862587,556602,True,Wed Oct 18 07:33:30 +0000 2017,"Great job by @115850 ! Order was supposed to come by 24 oct, got it delivered today. Real quick. Impressive. Thank you &amp; happy Diwali. :)","1862586,1862588",,1862587.0
2422796,695846,True,Tue Nov 14 18:14:24 +0000 2017,"@130293 Lo mismo que el compañero, CSI Las Vegas episodio 11x06 sólo está en latino. Es un error que sucede a menudo.",2422795,2422797.0,2422797.0
279986,182732,True,Fri Oct 06 08:52:52 +0000 2017,Amazon発送のミニスーファミは駄目かもしれんね。やっぱり文字化けトラブル組かあ。,279985,,279986.0
1899902,566201,True,Wed Oct 18 13:07:22 +0000 2017,"@AmazonHelp 3 browsers, two phones and 4 locations. All the same",,1899900.0,1899909.0
2740613,767772,True,Mon Nov 20 17:52:55 +0000 2017,On the phone with @115821 again for another botched delivery. They have no idea what they are doing.,2740611,,2740613.0
942139,343342,True,Sat Oct 21 16:10:35 +0000 2017,@115821 I’m supposed to open my bag of dog food when I get it. It’s not supposed to be shipped to me already open https://t.co/wWbsyCIeXD,942137,,942139.0
1150854,390824,True,Tue Oct 24 14:47:07 +0000 2017,@115850 The order amount is not small m it's 1300 bucks. This is so ridiculous. Never expected such thing from you guys.,1150853,1150855.0,1150855.0
432947,169505,True,Tue Oct 10 15:36:17 +0000 2017,@115850 order no. 403-7992585-3142701 was suppsd to arrive by 25/09. Item not rcivd yet. Cust Ex ensre to rslv in 48 hrs thy nvr call back,"432945,432950",,432947.0
539816,245183,True,Sat Dec 02 14:53:58 +0000 2017,I am not sure why I preorder from @116090 because they rarely fulfill the release street date of musical box sets. #U2SongsofExperience #december1st @128020,539815,,539816.0
2299555,667443,True,Sun Nov 12 15:54:22 +0000 2017,@AmazonHelp I've been charged by you but haven't bought anything .. Can u not,2299553,,2299555.0
423239,215768,True,Tue Oct 10 11:25:50 +0000 2017,@AmazonHelp Non il s'agit sac à dos AmazonBasics...,423241,423238.0,423240.0
2329642,622225,True,Fri Oct 20 00:51:03 +0000 2017,"@AmazonHelp Exchange then request refund. But that was ""Not possible"". 2 of 2",,2329641.0,2329645.0
1621281,496822,True,Mon Nov 06 12:00:35 +0000 2017,@AmazonHelp and please change the name of this handle to cutomer harrasement. Thanks @115851,1621283,1621280.0,1621294.0
577791,256004,True,Sun Dec 03 09:49:21 +0000 2017,Amazonミュージックアンリミテッド…そんなたくさんの音楽聴かないだろうとか思ってたのに無料お試し始めたら開始五分で最上級の幸せ噛みしめてる。,577790,,577791.0
814860,314056,True,Thu Oct 12 20:20:05 +0000 2017,Merci @AmazonHelp de ne plus utiliser @132988. J'espère que c'est définitif 🤞 https://t.co/NZHgL8BGFn,814858,,814860.0
1645579,502842,True,Tue Oct 17 13:42:10 +0000 2017,"あのね、あのね、amazonでね注文確定したのね？
その後またカートにもどったのね、大丈夫だよね？ね？大丈夫だよね？
心配症なの。勉強集中できない。笑",1645578,,1645579.0
1880224,561162,True,Wed Oct 18 10:34:47 +0000 2017,@115850 they said they will send their engineer. Order id:408-0945492-0921138,"1880223,1880225",,1880224.0
255083,176639,True,Thu Oct 05 20:45:16 +0000 2017,"@AmazonHelp No worries, thank you. On with the chat now.",,255081.0,255077.0
385400,207247,True,Tue Oct 10 10:54:06 +0000 2017,@AmazonHelp Yes i have shared the information thrice now.. Nobody knows where the product is and delivery people are updating false status on tracking..,385401,385399.0,385393.0
255032,176630,True,Thu Oct 05 18:44:08 +0000 2017,"@AmazonHelp The Amazon seller app is reporting inaccurate info, searching Amazon shopping app returns no results.",255034,255031.0,255033.0
2334561,675572,True,Fri Oct 20 13:49:13 +0000 2017,@AmazonHelp My problem does not fit in any of the categories you list as help subjects. How am I supposed to reach out for my problem?,,2334560.0,2334557.0
1079091,374549,True,Mon Oct 23 19:21:03 +0000 2017,ouah amazon depuis quand vous faites sa ? (CECI EST UN MONTAGE) @120533 https://t.co/38QsOfFPEU,1079089,,1079091.0
2748336,281383,True,Mon Nov 20 23:05:00 +0000 2017,Literally raging! How does Amazon think that sending my tiny travel bottle of Moroccanoil in all of this packaging is acceptable? What an absolute waste. This is why I’m always angry! Stupidity like this!!!!!!  @115821 https://t.co/nOsr8064cO,2748335,,2748336.0
1664433,507252,True,Mon Nov 06 10:07:29 +0000 2017,"@115850 I need to change my delivery location, no way to speak with someone to change. Can someone call me or sort this for me online?","1664432,1664434",,1664433.0
9791,117793,True,Wed Nov 01 00:05:55 +0000 2017,Ordered cases for our new iPhone X and @115821 sent me iPhone 8 cases for BOTH ones. NOT THE SAME PHONE! #pissed,9789,,9791.0
921194,193234,True,Sat Oct 21 05:14:07 +0000 2017,"@AmazonHelp Let me tell u @AmazonHelp that ur courier service is terrible ,u people rely on third party for delivery &amp; they make this exprnc pathetic","921195,921193",921196.0,921196.0
425142,216152,True,Mon Nov 20 19:09:38 +0000 2017,@AmazonHelp Don't worry I will #averyunhappycustomer,,425141.0,425140.0
1556276,481173,True,Sat Nov 04 12:06:01 +0000 2017,"Wtf 
Hey @115850  no one attempt any delivery for my product...
But your app shows it..
I m prime member but still 4 days 2 deliver prodct https://t.co/dRRzLLqaci",1556275,,1556276.0
1447967,456016,True,Thu Nov 02 17:03:07 +0000 2017,"@AmazonHelp The fifth try worked, Finally got to talk to someone who helped. Five calls and an hour on the phone.",,1447965.0,1447969.0
441022,219632,True,Wed Oct 18 08:23:22 +0000 2017,"@AmazonHelp I’ve bought a kindle book instead of a real book, can I change it please?",441021,,441022.0
606064,141169,True,Wed Nov 22 11:22:06 +0000 2017,@AmazonHelp Thank you!!,606063,606065.0,606066.0
76035,133016,True,Thu Nov 30 11:34:10 +0000 2017,@116928  y @4498 unos inútiles. Llevo 2 semanas pidiendo la recogida de un paquete y todavía no se han presentado. #inutiles #decepcion #amazonsucks,76033,,76035.0
1379449,441141,True,Mon Oct 16 15:32:48 +0000 2017,"@AmazonHelp Reported more than 20 times in last 20 days... poor Customer support @115850 @AmazonHelp 
you first check with your team. No reply to mail",1379451,1379448.0,1379450.0
984241,353329,True,Sun Oct 22 10:06:45 +0000 2017,"@AmazonHelp Isn't this funny , you send a damaged product and then you do something so that the customer can't even return it . https://t.co/mhDhNpnwm0","984243,984244",984240.0,984242.0
2280079,171648,True,Sat Nov 11 20:06:59 +0000 2017,@AmazonHelp They told me it's can't be Unhold. And the Fraude Company didn't know about the Amazon pay balance. It's Fraud company.,,2280077.0,2280051.0
312129,190545,True,Sat Oct 07 07:24:58 +0000 2017,@AmazonHelp I did. I was asked to supply another phone no.,312131,312128.0,312130.0
35893,743032,True,Fri Nov 17 18:06:51 +0000 2017,@123813 Cuanto?,2631378,35857.0,35857.0
1394407,444278,True,Mon Oct 16 16:12:57 +0000 2017,Why are you not putting names on parcels @115830 ?! All 3 parcels received in the last week had no name #frustrating,1394405,,1394407.0
2532785,365810,True,Mon Oct 30 12:17:35 +0000 2017,@AmazonHelp Waitinggggg!!!,,2532784.0,2532786.0
789705,297517,True,Fri Oct 13 13:32:40 +0000 2017,@AmazonHelp @115821 @115850 u fools stop playing with your link and response games... To clear your air there no response lst response was on 10/11/17,"789706,789707",789703.0,789693.0
1735577,524030,True,Tue Oct 17 19:23:25 +0000 2017,@115830 hi My delivery hasn’t arrived yet. I don’t know what to do &amp; the driver hasn’t put any delivery card notice on front of my door.,1735573,,1735577.0
2928402,650797,True,Wed Nov 29 04:20:45 +0000 2017,Jesus Christ @AmazonHelp @115850 @115821! This is how you’re dealing with prime members. AFTER you doubled the price for prime membership? https://t.co/zWfpwTs0HZ,"2928403,2928404,2928400",,2928402.0
2380809,529487,True,Tue Nov 14 05:26:06 +0000 2017,"It's an emergency.. 
Please @115850 deliver these two products as soon as possible.. https://t.co/XfosS2CDgn",2380807,,2380809.0
735310,219794,True,Wed Oct 11 15:40:50 +0000 2017,@AmazonHelp Lol which mail....see I told u @115821 @115850 have a #pathetic system in place #Amazon....@138673 losing customers as well,735311,735309.0,735308.0
222731,169204,True,Thu Oct 05 04:58:50 +0000 2017,@AmazonHelp it says it's AMZL US,222732,222730.0,222729.0
1081753,156741,True,Sun Oct 15 00:32:16 +0000 2017,"The Autobiography of Gucci Mane works with this deal!!!! Go!!

https://t.co/1EZJL6i1NS https://t.co/xLPgmnq12t",1081751,1081754.0,1081754.0
274697,181629,True,Sat Nov 25 06:27:26 +0000 2017,"@AmazonHelp No reply frm ur team ,evry time i need to beg them..#worstservice#",274698,274696.0,274705.0
2236329,652186,True,Fri Nov 10 17:26:32 +0000 2017,"@210100 @UPSHelp @116928 @AmazonHelp que se supone que llegó a Ourense, pero ni aviso, ni llamada, ni por supuesto el paquete, resulta que aquí reparten autónomos que usan un garaje de almacén, y eso de Pontevedra es ya apoteósico https://t.co/K9lMo7Wc4u",2236328,,2236329.0
1591526,489256,True,Sun Nov 05 00:20:10 +0000 2017,@115821 @AmazonHelp Package says being delivered today by 8 PM that it's out for delivery. 8:19 and nothing USPS delivery says Monday. Why?,1591524,,1591526.0
9765,117789,True,Wed Nov 01 00:32:15 +0000 2017,"@AmazonHelp Order date
06-Oct-2017
Order #
406-8895581-1413106
Order total
   3,719.00 (1 item) check out yourself",9768,9764.0,9767.0
2113632,623200,True,Wed Nov 08 16:18:37 +0000 2017,Ero a letto quando ho ricevuto la chiamata del corriere MI SONO SPUNTATE LE ALI AI PIEDI AMAZON MI HA TROLLATA MA SONO LA PERSONA PIÙ FELICE DEL MONDO CIAOOOO,2113631,2113633.0,2113637.0
2349520,679139,True,Tue Nov 14 14:04:43 +0000 2017,@AmazonHelp I don't get it. You said above that you've got my information?? Whom am I talking to?? Some real men or chatbots??,2349521,2349519.0,2349509.0
580591,244107,True,Sun Dec 03 11:51:59 +0000 2017,@115830 @AmazonHelp And the box is damaged!!! https://t.co/lPjl47ZMRo,580589,580597.0,580597.0
1721580,520979,True,Tue Oct 17 18:38:49 +0000 2017,@AmazonHelp I got this today. But we are waiting for the links for the gigs in Dublin. https://t.co/9XonIw9jY6,,1721579.0,1721582.0
1565851,477745,True,Sat Nov 04 15:25:15 +0000 2017,@AmazonHelp being given the option to sign up to a discounted amazon prime but only if i put in a baby name? No context on this screen? https://t.co/jmSixlG66B,1565850,,1565851.0
490463,231837,True,Fri Dec 01 17:00:32 +0000 2017,@AmazonHelp Bon après @132988 vient de me confirmer que je serai livré ce soir avant 18h. Mais j'ai pas demandé quel fuseau horaires :),490465,490462.0,490470.0
791035,308625,True,Thu Oct 12 12:40:53 +0000 2017,@123813 Cuando sacan la segunda temporada?,791034,791036.0,791036.0
2310811,670186,True,Mon Nov 13 04:39:48 +0000 2017,"@117093 @115851 Amazon Fresh is going to hell..you keep losing deliveries and trying to cancel service, you canceled Amazon Prime instead...WTF!! Customer service is shit!! At this rate, you'll never be a go to service",2310810,,2310811.0
595739,261164,True,Sun Dec 03 18:49:48 +0000 2017,@AmazonHelp It says to contact seller for details! First time I emailed they said they would send again and now they haven’t replied!,595738,595740.0,595741.0
1253662,402027,True,Thu Oct 26 06:13:19 +0000 2017,@AmazonHelp No tengo esa opción. https://t.co/JVKCVmMQfR,"1253661,1253663",1253664.0,1253665.0
428270,216862,True,Tue Oct 10 13:37:59 +0000 2017,@AmazonHelp how long does it take to investigate an acct? Acct was jacked &amp; I need access to it. Haven't heard anything in almost 2 wks.,428268,,428270.0
141029,147309,True,Fri Nov 24 12:18:20 +0000 2017,@AmazonHelp There are two deliveries due today. Designated delivery isn’t out for delivery. Replacement order hasn’t been dispatched. Amazon need to manage expectations. Don’t offer designated or prime delivery at this time of year and we’d know what to expect!,141031,141028.0,141030.0
2530691,122220,True,Mon Oct 30 10:46:47 +0000 2017,@AmazonHelp Zum Tag wo es raus kommt am 3.11 mach mir schon Gedanken 🙈ob’s ausverkauft sein wird bei euch !::/,2530693,2530690.0,2530692.0
917025,337705,True,Sat Oct 21 10:05:13 +0000 2017,@AmazonHelp えっと、特にクレームのつもりも無かったのですが…商品によってはあり得ることなんでしょうか？,917027,917024.0,917026.0
1500647,468410,True,Fri Nov 03 16:04:14 +0000 2017,"@AmazonHelp You just need to be the old Amazon that was awesome, but I'm sure you can't do that. I'll shop elsewhere, thanks for your concern.",1500650,1500646.0,1500649.0
2832987,788683,True,Mon Nov 27 16:29:12 +0000 2017,"@788682 @AmazonHelp Please keep us updated on this, I was being encouraged to buy a laptop from Amazon. I will rethink now.",,2832984.0,2832986.0
761843,302021,True,Wed Oct 11 20:38:21 +0000 2017,"hey  @117093 I need you to please stock a better selection of @71047 bars, specifically lemon poppy, maple pecan and coconut almond chocolate chip. As singles, not just bulk boxes please :-)",761842,,761843.0
2428216,697189,True,Sun Nov 26 17:58:56 +0000 2017,@115830 guys what going on with prime delivery. Showing as delivery on Wednesday??  We’re paying for a next day service?,2428213,,2428216.0
315750,191387,True,Sat Oct 07 07:40:00 +0000 2017,Amazonでアルバム予約してたんだけど発売日過ぎても全然届かないし連絡のメールすらこないんだけどどうなっとるん,"315749,315751",,315750.0
379929,206129,True,Mon Oct 09 10:00:45 +0000 2017,"@AmazonHelp Still error
if I include hyphens then it would be 15 total. 13digit + 2 hyphens","379930,379931",379927.0,379926.0
937309,342203,True,Sat Oct 21 18:10:46 +0000 2017,Dear @115830 this is not the wonder twins https://t.co/AvhzdenO2R,937308,,937309.0
2103724,621126,True,Thu Oct 19 00:58:50 +0000 2017,"@116316 Mein Paket sollte am 18.10 versandt werden, jetzt haben wir ja schon den 19.10 und ich hab noch keine Versandbestätigung erhalten😢",2103723,,2103724.0
954972,346582,True,Sat Oct 21 21:37:31 +0000 2017,"@AmazonHelp It’s 10:36 pm now, nothing here #poorservice","954973,954974",954971.0,954970.0
1865168,228276,True,Wed Oct 18 07:58:20 +0000 2017,Well that’s the first and LAST time I use @115830 to preorder a game! Utter rubbish promise of delivery on release day. @AmazonHelp,1865167,,1865168.0
973494,350873,True,Sat Oct 14 06:35:13 +0000 2017,@115850 Recieved soiled and dirty product delivered by Amazon today. Worst experience as this was supposed to be a Diwali Gift,973493,,973494.0
2749334,769778,True,Mon Nov 20 23:49:09 +0000 2017,@AmazonHelp i got a screen protector and the edges of it arent sticking....what do i do???,2749333,,2749334.0
2779131,138761,True,Tue Nov 21 16:22:05 +0000 2017,"I’ll tell you what I think about this photo @115830  :- 
READ MY DELIVERY INSTRUCTUONS! I SAID TO LEAVE THE PARCEL OUT OF SIGHT BEHIND THE BIN. I DID NOT SAY DUMP IT IN FRONT OF THE DOOR!!!!!!!!! https://t.co/wKpJA1pXon",2779129,,2779131.0
835822,318977,True,Fri Oct 13 08:19:08 +0000 2017,@119625 I download one movie but language not in hindi https://t.co/wlh1JLQ5Ra,835820,,835822.0
2959966,816935,True,Wed Nov 29 20:23:44 +0000 2017,Da kauf ich mal einen Film bei @116618 und es gibt nur eine Tonspur. Kommt einem vor wie tiefstes #Mittelalter. Da bin ich echt besseres gewohnt/verwöhnt. #FirstWorldProblems #FixIt,2959965,,2959966.0
826580,215375,True,Fri Oct 13 01:35:34 +0000 2017,@115850 any re-solution/update on my query? Havent heard from you people.,826578,,826580.0
802378,311199,True,Sat Oct 14 02:11:07 +0000 2017,@AmazonHelp Details have already been sent. Kindly make it hassle free for me and get the refund done ASAP.,802382,802376.0,802381.0
160365,152928,True,Fri Nov 24 18:19:05 +0000 2017,@AmazonHelp Alguma chance do box Mistborn voltar ao preço promocional? :),160364,,160365.0
