brand,outbound_tweets,inbound_tweets,total_conversations,multi_turn_conversations,avg_conv_length,score
AmazonHelp,169840,204202,82534,51244,4.531974701335208,17.52981287150905
Tesco,38573,34586,16721,11629,4.375276598289576,16.679208084772917
British_Airways,29361,31355,16450,8829,3.6909422492401216,15.075314796899058
AppleSupport,106860,132047,80702,28140,2.960360338033754,14.78543345945478
AmericanAir,36764,50820,26385,11577,3.319461815425431,14.568309141066235
Delta,42253,45741,26166,11147,3.3629137048077657,14.432362891671897
Uber_Support,56270,72280,41923,15088,3.066335901533764,14.242592814985628
SpotifyCares,43265,48624,28280,10500,3.249257425742574,13.962816767192972
TMobileHelp,34317,48413,22789,8620,3.6302602132607835,13.816603779837694
comcastcares,33031,40018,24061,8793,3.0359918540376545,13.742850688419038
